0.34	0	0	0	0	1	0	0.483333	0	0.290385	0	0	0	0	0	0	1	0	0.613333	0	0	1	0	0.318182	0	0	1	0	0	0	0	1	0	0	0	1	0
0.48	1	0	0	1	0	0	0.483333	0	0.265385	0	0	0	0	1	0	0	0	0.726667	0	0	0	0	0.295455	0	1	0	0	0	0	1	1	0	0	0	1	0
0.5	1	0	1	0	0	0	0.416667	0	0	1	0	0	1	0	1	0	0	0.4	0	0	0	0	0.375	0	0	0	1	0	0	1	0	0	0	1	1	0
0.18	0	0	1	0	0	0	0.333333	0	0.336538	0	0	0	0	1	0	0	0	0.466667	0	0	0	0	0.295455	0	0	0	0	1	0	1	0	0	0	1	1	0
0.5	0	0	0	0	1	0	0.483333	0	0.286538	0	0	0	0	0	0	1	0	0.666667	0	0	0	0	0.295455	0	1	0	0	0	0	0	1	0	0	0	1	0
0.48	0	0	1	0	0	0	0.333333	0	0.240385	0	0	0	0	1	0	0	0	0.586667	0	0	0	0	0.295455	0	0	0	0	1	0	1	0	0	0	1	1	0
0.32	1	0	0	1	0	0	0.416667	0	0.284615	0	0	0	0	1	0	0	0	0.793333	0	0	1	0	0.340909	0	1	0	0	0	0	0	1	0	0	0	1	0
0.38	1	0	0	0	1	0	0.266667	0	0.228846	0	0	0	0	1	0	0	0	0.553333	0	0	0	0	0.306818	0	1	0	0	0	0	0	1	0	0	0	1	0
0.86	0	0	0	1	0	0	0.25	0	0.346154	0	0	1	0	0	0	1	0	0.466667	0	0	0	0	0.295455	0	1	0	0	0	0.333333	0	1	0	0	0	1	0
0.26	1	0	1	0	0	0	0.333333	0	0.138462	0	0	0	0	1	0	0	0	0.813333	0	0	0	0	0.295455	0	1	0	0	0	0	0	1	0	0	0	1	0
0.04	0	1	0	0	0	0	0.75	0	0.292308	0	0	0	0	0	1	0	0	0.733333	0	0	0	0	0.295455	0	0	0	0	1	0	1	0	1	0	0	1	0
0.58	1	0	0	0	1	0	0.25	0	0.223077	0	0	0	0	1	0	0	0	0.44	0	0	1	0	0.465909	0	0	1	0	0	0	0	0	1	0	0	1	0
0.38	0	0	0	1	0	0	0.416667	0	0	1	0	0	0	1	0	0	0	0.566667	0	0	0	0	0.522727	0	0	1	0	0	0	1	0	0	0	1	1	0
0.52	1	0	0	1	0	0	0.583333	0	0	1	0	0	0	1	0	0	0	0.413333	0	0	0	0	0.295455	0	0	0	0	1	0	1	0	0	0	1	1	0
0.02	1	0	1	0	0	0	0.5	0	0	1	0	0	0	1	0	0	0	0.733333	0	0	0	0	0.295455	0	0	0	0	1	0	1	0	0	0	1	1	0
0.22	0	0	0	1	0	0	0.116667	0	0.219231	0	0	0	0	1	0	0	0	0.793333	0	0	0	0	0.295455	0	1	0	0	0	0	0	1	0	0	0	1	0
0.28	1	0	1	0	0	0	0.333333	0	0.403846	0	0	0	0	1	0	0	0	0.68	0	0	0	0	0.295455	0	1	0	0	0	0	0	1	0	0	0	1	0
0.56	1	1	0	0	0	0	0.333333	0	0.207692	0	0	0	0	0	0	1	0	0.68	0	0	0	0	0.511364	0	0	1	0	0	0	0	0	0	1	0	1	0
0.44	0	0	1	0	0	0	0.333333	0	0.305769	0	0	0	0	1	0	0	0	0.68	0	0	0	0	0.420455	0	1	0	0	0	0	0	1	0	0	0	1	0
0.52	1	0	1	0	0	0	0.666667	0	0.423077	0	0	0	0	1	0	0	0	0.766667	0	0	0	0	0.295455	0	0	0	0	1	0	1	0	0	0	1	1	0
0.4	1	0	1	0	0	0	0.166667	0	0	1	0	0	0	1	0	0	0	0.266667	0	0	0	0	0.295455	0	0	0	0	1	0	1	0	0	0	1	1	0
0.54	1	0	1	0	0	0	0.5	0	0.213462	0	0	0	0	1	0	0	0	0.6	0	0	0	0	0.295455	0	0	0	0	1	0	1	0	0	1	0	1	0
0.32	1	0	0	0	1	0	0.416667	0	0.238462	0	0	0	0	0	1	0	0	0.446667	0	0	0	0	0.295455	0	0	0	0	1	0	1	0	0	0	1	1	0
0.58	1	0	0	0	1	0	0.5	0	0.205769	0	0	0	0	1	0	0	0	0.586667	0	0	0	0	0.340909	0	0	1	0	0	0	0	0	1	0	0	1	0
0.84	1	0	1	0	0	0	0.633333	0	0.307692	0	0	0	0	0	0	1	0	0.553333	0	0	0	0	0.295455	0	1	0	0	0	0	0	1	0	0	0	1	0
